id,kind,amharic
"fidel_sza_3",fidel,"ሢ"
"fidel_hha2_7",fidel,"ኆ"
"fidel_labial_qw_1",fidel,"ቈ"
"fidel_labial_qw_3",fidel,"ቊ"
"fidel_labial_qw_5",fidel,"ቌ"
"fidel_labial_qw_6",fidel,"ቍ"
"fidel_labial_kw_1",fidel,"ኰ"
"fidel_labial_kw_3",fidel,"ኲ"
"fidel_labial_kw_5",fidel,"ኴ"
"fidel_labial_kw_6",fidel,"ኵ"
"fidel_labial_gw_1",fidel,"ጐ"
"fidel_labial_gw_3",fidel,"ጒ"
"fidel_labial_gw_5",fidel,"ጔ"
"fidel_labial_gw_6",fidel,"ጕ"
"fidel_labial_hw_1",fidel,"ዀ"
"fidel_labial_hw_3",fidel,"ዂ"
"fidel_labial_hw_5",fidel,"ዄ"
"fidel_labial_hw_6",fidel,"ዅ"
